id,scornful,downhearted,alone,angry,shaky,nervous,blue,jittery,hostile,sad,loathing,afraid
1003,1,1,3,1,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,1,1,1,1,1
1003,1,1,3,1,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,1,2,1,1,1
1003,1,1,1,1,1,1,1,1,1,2,1,1
1003,1,1,1,1,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,1,1,1,1,1
1003,2,2,1,1,1,1,2,1,1,2,1,2
1003,1,3,1,1,1,3,3,1,1,2,1,1
1003,1,2,1,1,1,1,1,2,1,1,2,1
1003,3,4,2,3,1,3,3,1,1,3,2,3
1003,1,1,1,1,1,1,1,1,1,1,1,1
1003,2,1,3,1,1,2,1,1,1,1,2,2
1003,1,1,2,1,1,2,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,3,1,1,1,1
1003,1,1,1,1,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,1,1,1,1,1
1003,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,3,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,3,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,3,1,1,2,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,2,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,4,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1004,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
1006,1,1,1,1,1,1,1,1,1,1,1,1
