id,cm_feeling,cm_fun,cm_pleasant,cm_high
1006,3,0,2,2
1006,3,2,2,2
1006,2,0,2,2
1006,2,0,2,2
1006,0,0,0,0
1006,3,0,2,2
1006,3,0,2,2
1006,2,0,2,0
1006,2,0,2,3
1006,2,0,2,2
1006,0,0,3,3
1006,3,0,2,0
1008,2,2,2,2
1008,3,2,3,3
1008,2,3,3,3
1008,2,3,3,3
1008,2,2,2,2
1008,1,1,1,1
1008,0,0,0,0
1008,3,3,3,3
1009,2,3,2,2
1009,2,2,2,2
1009,2,2,2,2
1009,2,2,3,2
1009,2,2,2,2
1009,2,2,2,2
1009,3,3,2,2
1009,2,2,2,2
1009,2,3,2,2
1009,2,2,2,2
1009,2,2,3,2
1009,2,2,2,2
1009,2,3,3,3
1009,2,2,2,2
1009,2,2,2,2
1010,2,2,2,2
1010,2,2,2,2
1010,2,2,2,2
1010,2,2,2,2
1010,2,2,2,2
1010,2,2,2,2
1010,1,2,1,3
1010,2,2,1,3
1010,2,1,1,3
1010,2,2,2,3
1010,2,2,2,2
1010,2,2,2,2
1010,2,2,2,0
1010,2,2,2,2
1010,1,3,2,3
1010,2,2,2,3
1010,0,2,2,2
1010,2,2,2,2
1010,2,2,1,2
1010,2,1,2,3
1011,3,3,3,3
1011,2,1,2,0
1011,3,2,3,2
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1011,3,3,3,3
1012,2,2,3,2
1012,2,2,3,2
1012,2,2,2,2
1012,2,3,3,2
1012,3,2,2,2
1012,2,2,2,2
1012,2,2,2,2
1012,2,2,2,3
1013,0,3,3,3
1013,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1016,3,3,3,3
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,3,3
1017,3,1,2,1
1017,2,2,2,3
1017,3,3,2,2
1017,2,2,2,2
1017,2,3,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,3,3,2,2
1017,2,3,2,3
1017,3,3,2,3
1017,3,2,2,2
1017,3,2,2,2
1017,2,2,2,2
1017,2,3,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,3,2
1017,3,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,2,2,2,2
1017,3,2,2,2
1018,2,2,2,2
1018,3,2,2,2
1018,2,2,2,2
1018,2,2,2,2
1018,2,2,2,2
1018,2,2,2,2
1018,2,2,2,2
1018,2,2,2,2
1020,3,3,3,3
1020,3,3,2,2
1020,3,3,3,3
1020,3,2,2,2
1020,3,2,2,2
1020,3,3,2,2
1020,3,3,2,3
1020,3,3,2,3
1020,3,3,2,2
1026,3,3,3,3
1026,2,3,3,3
1026,3,3,3,2
1026,3,3,3,2
1026,2,3,3,2
1026,2,3,2,2
1026,3,3,3,2
1026,2,3,3,2
1026,3,3,2,2
