id,excited,active,alert,happy,enthusiastic
1064,2,2,3,3,2
1064,4,3,4,4,3
1066,3,3,2,4,2
1066,2,2,2,4,1
1066,3,3,2,4,2
1066,5,3,1,4,3
1066,2,1,1,3,1
1066,3,1,1,3,2
1066,3,1,2,3,3
1066,3,3,1,4,3
1066,2,4,3,4,3
1066,3,4,3,4,3
1066,4,4,4,4,4
1067,4,3,3,5,4
1067,1,1,1,1,1
1067,3,2,1,4,3
1067,5,4,2,5,4
1067,4,1,2,4,3
1067,3,2,1,4,2
1067,3,2,1,3,2
1067,3,2,1,3,1
1067,2,1,1,3,1
1067,2,2,1,3,2
1067,3,1,1,4,2
1067,3,2,1,3,2
1067,3,1,1,3,2
1067,2,1,1,4,3
1067,3,1,1,4,3
1068,1,1,1,4,1
1068,1,1,1,4,1
1068,5,3,1,4,4
1068,2,1,1,4,1
1068,3,1,1,2,1
1068,3,1,1,3,1
1068,1,1,1,1,1
1068,3,1,1,5,5
1068,4,1,1,3,3
1069,1,1,2,3,3
1069,1,4,1,3,4
1069,5,5,5,5,1
1069,1,1,1,1,1
1071,1,3,3,3,2
1071,3,3,3,2,1
1071,1,1,1,2,1
1071,1,3,2,2,1
1071,2,2,2,2,1
1071,1,1,1,1,1
1071,1,1,2,2,1
1071,1,1,1,1,1
1071,1,2,2,1,1
1071,1,1,1,1,1
1071,1,2,2,2,1
1071,1,1,1,1,1
1071,1,1,1,1,1
1071,1,1,1,1,1
1071,1,1,1,1,1
1072,4,1,3,4,4
1072,5,3,3,5,5
1072,5,2,1,5,5
1072,3,1,1,3,2
1072,2,1,1,3,1
1072,1,5,5,1,1
1072,3,3,3,5,3
1072,5,1,1,5,5
1072,4,3,1,5,5
1074,2,2,1,3,1
1074,3,1,1,2,1
1074,2,1,2,3,1
1074,1,1,2,2,1
1074,1,4,4,3,3
1074,2,2,1,3,3
1074,1,2,1,1,1
1074,1,1,1,2,1
1074,1,3,4,1,3
1074,1,1,1,2,2
1074,2,1,1,2,1
1074,1,1,2,2,3
1074,1,2,1,1,1
1074,1,2,3,4,2
1074,3,4,3,3,1
1074,1,5,4,4,3
1074,1,1,1,1,1
1075,2,1,1,3,3
1075,2,1,4,3,1
1075,1,2,3,2,1
1075,1,2,3,2,1
1075,1,1,3,2,1
1075,1,3,3,2,1
1075,2,2,5,4,3
1075,3,1,3,5,2
1075,2,2,3,2,1
1075,1,1,2,1,1
1075,1,1,1,1,1
1075,1,1,1,1,1
1075,1,1,3,3,1
1075,1,1,1,1,1
1075,1,1,4,2,1
1075,1,1,2,1,1
1075,1,1,2,1,1
1075,1,1,1,1,1
1075,1,1,3,3,1
1075,1,3,4,4,2
1075,1,1,3,2,1
1075,1,1,1,1,1
1075,1,1,1,1,1
1075,1,1,1,1,1
1076,1,2,2,3,2
1076,1,3,2,3,1
1076,1,2,3,3,2
1076,1,2,2,3,2
1076,3,5,4,4,3
1076,2,2,1,2,2
1076,1,4,3,3,2
1076,1,2,3,4,1
1076,1,3,3,3,1
1076,1,3,3,3,1
1076,1,3,3,3,1
1076,1,3,3,3,1
1076,1,4,3,3,2
1076,1,3,3,3,2
1076,1,3,3,3,2
1077,2,1,2,2,2
1077,2,1,2,1,2
1077,2,1,1,3,2
1077,2,1,3,2,2
1077,4,2,2,3,2
1077,2,1,1,2,2
1077,1,1,1,1,1
1077,1,1,1,2,1
1077,1,1,1,2,1
1077,1,1,1,1,1
1077,2,1,1,2,2
1077,1,1,1,1,1
1077,2,1,1,2,2
1077,2,2,2,2,2
1077,2,3,2,2,2
1077,1,1,1,2,1
1077,1,1,1,1,1
